gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_spend,n_services,tenure_bucket_1-2y,tenure_bucket_2-4y,tenure_bucket_4-6y,Churn,customerID
1,0,1,1,13,1,1,49.95,587.45,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45.18846153846154,1,True,False,False,0,9763-GRSKD
1,0,0,0,16,1,0,18.95,326.8,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,20.425,0,True,False,False,0,7469-LKBCI
1,0,1,0,58,1,0,100.35,5681.1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,97.95,3,False,False,True,0,8091-TTVAX
1,0,0,0,49,1,1,103.7,5036.3,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,102.78163265306122,4,False,False,True,1,0280-XJGEX
1,0,0,0,25,1,1,105.5,2686.05,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,107.44200000000001,5,False,True,False,0,5129-JLPIS
0,0,1,1,69,1,0,113.25,7895.15,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,114.42246376811593,6,False,False,True,0,3655-SNQYZ
0,0,0,0,52,1,0,20.65,1022.95,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,19.672115384615385,0,False,False,True,0,8191-XWSZG
1,0,0,1,71,1,0,106.7,7382.25,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,103.97535211267606,4,False,False,True,0,9959-WOFKT
0,0,1,1,10,1,0,55.2,528.35,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,52.835,2,False,False,False,1,4190-MFLUW
0,0,0,0,21,1,1,90.05,1862.9,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,88.70952380952382,3,True,False,False,0,4183-MYFRB
1,1,0,0,1,0,1,39.65,39.65,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,39.65,2,False,False,False,1,8779-QRDMV
1,0,1,0,12,1,0,19.8,202.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,16.854166666666668,0,False,False,False,0,1680-VDCWW
1,0,0,0,1,1,0,20.15,20.15,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,20.15,0,False,False,False,1,1066-JKSGK
0,0,1,0,58,1,1,59.9,3505.1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,60.432758620689654,2,False,False,True,0,3638-WEABW
1,0,1,1,49,1,0,59.6,2970.3,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,60.61836734693878,3,False,False,True,0,6322-HRPFA
0,0,0,0,30,1,1,55.3,1530.6,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,51.019999999999996,2,False,True,False,0,6865-JZNKO
1,0,1,1,47,1,1,99.35,4749.15,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,101.04574468085106,3,False,True,False,1,6467-CHFZW
1,0,1,1,1,0,0,30.2,30.2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,30.2,1,False,False,False,1,8665-UTDHZ
1,0,1,0,72,1,1,90.25,6369.45,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,88.46458333333334,6,False,False,True,0,5248-YGIJN
0,0,0,1,17,1,1,64.7,1093.1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,64.3,2,True,False,False,1,8773-HHUOZ
0,1,1,0,71,1,1,96.35,6766.95,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,95.30915492957746,4,False,False,True,0,3841-NFECX
1,1,1,0,2,1,1,95.5,181.65,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,90.825,3,False,False,False,0,4929-XIHVW
0,0,1,1,27,1,0,66.15,1874.45,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,69.42407407407407,4,False,True,False,0,6827-IEAUQ
1,0,0,0,1,1,0,20.2,20.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,20.2,0,False,False,False,0,7310-EGVHZ
1,1,0,0,1,1,0,45.25,45.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45.25,0,False,False,False,0,3413-BMNZE
0,0,1,1,72,1,0,99.9,7251.7,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,100.71805555555555,4,False,False,True,0,6234-RAAPL
1,0,0,0,5,1,1,69.7,316.9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,63.379999999999995,0,False,False,False,1,6047-YHPVI
0,0,0,0,46,1,1,74.8,3548.3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,77.13695652173914,1,False,True,False,0,6572-ADKRS
1,0,0,0,34,1,1,106.35,3549.25,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,104.38970588235294,4,False,True,False,1,5380-WJKOV
0,0,0,0,11,1,1,97.85,1105.4,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,100.4909090909091,3,False,False,False,1,8168-UQWWF
1,0,1,1,10,1,0,49.55,475.7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,47.57,1,False,False,False,0,8865-TNMNX
0,0,1,1,70,1,1,69.2,4872.35,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,69.605,3,False,False,True,0,9489-DEDVP
0,0,1,1,17,1,0,20.75,418.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,24.602941176470587,0,True,False,False,0,9867-JCZSP
0,0,0,0,63,1,1,79.85,4861.45,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,77.16587301587302,5,False,False,True,0,4671-VJLCL
0,0,1,0,13,1,1,76.2,981.45,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,75.49615384615385,4,True,False,False,0,4080-IIARD
0,0,0,0,49,1,1,84.5,3906.7,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,79.72857142857143,1,False,False,True,0,3714-NTNFO
1,0,0,0,2,1,0,49.25,97.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,48.5,1,False,False,False,0,5948-UJZLF
0,0,0,0,2,1,1,80.65,144.15,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,72.075,1,False,False,False,1,7760-OYPDY
1,0,0,0,52,1,1,79.75,4217.8,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,81.11153846153846,4,False,False,True,0,7639-LIAYI
0,0,1,1,69,1,1,64.15,4254.1,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,61.6536231884058,3,False,False,True,0,2954-PIBKO
0,1,0,0,43,1,1,90.25,3838.75,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,89.27325581395348,2,False,True,False,0,8012-SOUDQ
0,0,0,0,15,1,1,99.1,1426.4,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,95.09333333333333,4,True,False,False,1,9420-LOJKX
0,1,1,0,25,1,1,69.5,1752.65,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,70.10600000000001,3,False,True,False,0,6575-SUVOI
0,1,1,0,8,1,1,80.65,633.3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,79.1625,1,False,False,False,1,7495-OOKFY
0,1,1,1,60,1,1,74.85,4456.35,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,74.27250000000001,5,False,False,True,0,4667-QONEA
1,1,0,0,18,1,1,95.45,1752.55,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,97.36388888888888,2,True,False,False,1,1658-BYGOY
0,0,1,1,63,1,1,99.65,6311.2,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,100.17777777777778,3,False,False,True,0,8769-KKTPH
1,1,1,1,66,1,1,108.45,7076.35,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,107.21742424242424,5,False,False,True,0,5067-XJQFU
0,0,1,1,34,1,0,24.95,894.3,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,26.302941176470586,0,False,True,False,0,3957-SQXML
0,0,0,0,72,1,1,107.5,7853.7,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,109.07916666666667,4,False,False,True,0,5954-BDFSG
0,0,1,0,47,1,1,100.5,4707.1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,100.15106382978725,3,False,True,False,0,0434-CSFON
1,0,0,0,60,1,1,89.9,5450.7,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,90.845,2,False,False,True,0,1215-FIGMP
1,0,1,0,72,0,0,42.1,2962.0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,41.138888888888886,3,False,False,True,0,0526-SXDJP
0,0,1,1,18,1,1,54.4,957.1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,53.172222222222224,2,True,False,False,0,0557-ASKVU
0,0,0,0,9,1,0,94.4,857.25,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,95.25,2,False,False,False,1,5698-BQJOH
0,0,0,0,3,1,1,75.3,244.1,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,81.36666666666666,4,False,False,False,0,5122-CYFXA
1,0,1,0,47,1,1,78.9,3650.35,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,77.66702127659575,1,False,True,False,0,8627-ZYGSZ
0,0,0,0,31,1,0,79.2,2497.2,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,80.55483870967741,5,False,True,False,0,3410-YOQBQ
0,0,1,1,50,1,0,20.15,930.9,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,18.618,0,False,False,True,0,3170-NMYVV
1,0,0,0,10,1,1,79.85,887.35,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,88.735,2,False,False,False,0,7410-OIEDU
1,0,0,0,1,1,0,49.05,49.05,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,49.05,1,False,False,False,0,2273-QCKXA
0,0,1,1,52,1,1,20.4,1090.65,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,20.974038461538463,0,False,False,True,0,0731-EBJQB
1,1,1,1,64,1,1,111.6,7099.0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,110.921875,5,False,False,True,0,1891-QRQSA
1,0,1,1,62,1,1,24.25,1424.6,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,22.97741935483871,0,False,False,True,0,8028-PNXHQ
0,0,0,1,3,1,1,64.5,177.4,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,59.13333333333333,3,False,False,False,0,5630-AHZIL
0,1,0,0,56,1,0,110.5,6139.5,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,109.63392857142857,5,False,False,True,0,2673-CXQEU
0,0,0,0,46,1,0,55.65,2688.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,58.45326086956521,1,False,True,False,0,6416-JNVRK
0,0,1,1,8,1,0,54.65,482.25,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,60.28125,2,False,False,False,0,5590-ZSKRV
1,1,0,0,30,1,1,74.75,2111.3,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,70.37666666666668,4,False,True,False,0,0191-ZHSKZ
0,0,1,1,45,1,1,25.9,1216.6,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,27.035555555555554,0,False,True,False,0,3887-PBQAO
0,0,0,1,1,1,1,79.35,79.35,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,79.35,1,False,False,False,1,5919-TMRGD
0,0,1,1,11,0,0,50.55,565.35,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,51.39545454545455,3,False,False,False,0,8108-UXRQN
0,0,1,0,7,1,1,75.15,496.9,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,70.98571428571428,1,False,False,False,1,9191-MYQKX
0,0,0,0,42,1,1,103.8,4327.5,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,103.03571428571429,5,False,True,False,0,9919-YLNNG
0,0,1,0,49,1,1,20.15,973.35,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,19.864285714285714,0,False,False,True,0,0318-ZOPWS
1,0,0,0,9,1,1,99.3,918.75,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,102.08333333333333,3,False,False,False,0,4445-ZJNMU
0,0,1,0,35,1,1,62.15,2215.45,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,63.29857142857142,2,False,True,False,0,4808-YNLEU
0,0,1,1,48,1,0,20.65,1057.0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,22.020833333333332,0,False,True,False,0,1862-QRWPE
0,0,1,1,46,1,1,19.95,927.1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,20.15434782608696,0,False,True,False,0,2796-NNUFI
1,0,1,0,29,0,0,33.75,1009.25,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,34.80172413793103,1,False,True,False,0,3016-KSVCP
1,0,1,1,30,1,0,82.05,2570.2,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,85.67333333333333,2,False,True,False,0,4767-HZZHQ
1,1,0,0,1,1,0,74.7,74.7,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,74.7,1,False,False,False,0,2424-WVHPL
1,0,1,1,66,1,1,84.0,5714.25,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,86.57954545454545,5,False,False,True,0,7233-PAHHL
0,0,0,0,65,1,1,111.05,7107.0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,109.33846153846154,5,False,False,True,0,6067-NGCEU
1,0,0,0,72,1,1,100.9,7459.05,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,103.59791666666666,4,False,False,True,0,9848-JQJTX
0,0,0,0,12,1,1,78.95,927.35,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,77.27916666666667,1,False,False,False,1,8637-XJIVR
1,0,1,1,71,1,1,66.85,4748.7,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,66.8830985915493,3,False,False,True,0,9803-FTJCG
1,0,0,0,5,1,0,21.05,113.85,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,22.77,0,False,False,False,1,0278-YXOOG
1,0,0,0,52,1,0,21.0,1107.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,21.292307692307695,0,False,False,True,0,3212-KXOCR
0,1,1,0,25,1,1,98.5,2514.5,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,100.58,4,False,True,False,1,4598-XLKNJ
1,0,0,0,1,1,0,20.2,20.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,20.2,0,False,False,False,0,6380-ARCEH
0,0,1,1,1,1,0,19.45,19.45,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,19.45,0,False,False,False,0,3679-XASPY
1,0,0,0,38,1,0,95.0,3605.6,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,94.88421052631578,3,False,True,False,0,7123-WQUHX
0,1,1,0,66,0,0,45.55,3027.25,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,45.86742424242424,3,False,False,True,0,5386-THSLQ
1,0,1,0,68,1,1,110.0,7611.85,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,111.93897058823529,5,False,False,True,1,3192-NQECA
1,0,0,0,5,0,0,24.3,100.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20.04,0,False,False,False,0,6180-YBIQI
0,0,1,1,72,1,1,104.15,7303.05,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,101.43125,4,False,False,True,0,6728-DKUCO
0,0,0,0,32,0,0,30.15,927.65,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,28.9890625,1,False,True,False,0,9750-BOOHV
1,0,0,0,43,1,0,94.35,3921.3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,91.19302325581396,2,False,True,False,0,8597-CWYHH
1,0,1,1,72,1,0,19.4,1363.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,18.93402777777778,0,False,False,True,0,2848-YXSMW
1,0,1,0,55,1,1,96.75,5238.9,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,95.25272727272727,3,False,False,True,1,0486-HECZI
0,0,0,0,52,1,0,57.95,3042.25,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,58.50480769230769,3,False,False,True,0,4549-ZDQYY
0,0,0,0,43,1,1,91.65,3954.1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,91.95581395348837,3,False,True,False,0,5712-AHQNN
0,1,1,0,37,1,1,76.5,2868.15,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,77.51756756756757,0,False,True,False,1,4846-WHAFZ
0,0,1,1,64,0,1,54.6,3423.5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,53.4921875,4,False,False,True,0,5256-SKJGO
1,0,1,1,3,1,0,89.85,248.4,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,82.8,3,False,False,False,0,3071-VBYPO
0,0,0,0,36,0,0,31.05,1126.35,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,31.287499999999998,1,False,True,False,0,9560-BBZXK
0,0,1,1,10,1,1,100.25,1064.65,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,106.465,3,False,False,False,1,5299-RULOA
0,0,0,0,41,1,0,20.65,835.15,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,20.36951219512195,0,False,True,False,0,8402-OOOHJ
1,0,1,1,27,1,1,85.2,2151.6,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,79.68888888888888,2,False,True,False,0,9445-ZUEQE
0,0,1,1,56,1,1,99.8,5515.45,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,98.49017857142857,3,False,False,True,0,1091-SOZGA
0,0,0,0,6,1,0,20.7,112.75,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,18.791666666666668,0,False,False,False,0,2928-HLDBA
1,0,0,0,3,1,1,74.4,229.55,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,76.51666666666667,0,False,False,False,1,0404-SWRVG
0,0,1,1,7,1,0,50.7,350.35,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50.050000000000004,1,False,False,False,0,6497-TILVL
0,0,1,1,4,1,0,20.85,62.9,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,15.725,0,False,False,False,0,7219-TLZHO
1,0,0,0,33,1,1,88.95,3027.65,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,91.7469696969697,3,False,True,False,0,4622-YNKIJ
0,1,0,0,27,1,1,78.05,2135.5,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,79.0925925925926,1,False,True,False,1,4412-YLTKF
1,0,1,0,72,1,1,23.55,1723.95,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,23.94375,0,False,False,True,0,6734-PSBAW
1,0,0,0,1,1,0,19.75,19.75,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,19.75,0,False,False,False,0,3930-ZGWVE
1,1,0,0,71,0,1,56.45,3985.35,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,56.131690140845066,4,False,False,True,0,2639-UGMAZ
0,0,0,0,13,1,1,85.95,1215.65,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,93.51153846153846,1,True,False,False,0,2876-GZYZC
0,0,1,1,25,0,1,58.6,1502.65,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,60.106,5,False,True,False,1,6207-WIOLX
1,0,0,0,67,1,0,50.55,3260.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,48.65820895522388,1,False,False,True,0,8587-XYZSF
1,0,0,0,1,0,1,35.45,35.45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,35.45,1,False,False,False,1,3091-FYHKI
1,0,0,0,2,1,0,44.35,81.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40.625,0,False,False,False,1,2372-HWUHI
0,0,0,0,43,1,1,25.7,1188.2,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,27.632558139534886,0,False,True,False,0,7799-LGRDP
0,0,0,0,23,1,1,75.0,1778.5,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,77.32608695652173,1,True,False,False,0,7850-VWJUU
0,0,1,1,64,1,0,20.2,1277.75,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,19.96484375,0,False,False,True,0,3774-VBNXY
1,0,0,1,57,1,1,19.6,1170.55,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,20.5359649122807,0,False,False,True,0,6217-KDYWC
0,1,1,0,1,1,1,70.45,70.45,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,70.45,0,False,False,False,1,0390-DCFDQ
0,1,1,1,72,1,1,88.05,6425.65,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,89.24513888888889,6,False,False,True,0,3146-MSEGF
0,0,0,0,8,1,0,71.15,563.65,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,70.45625,3,False,False,False,1,4080-OGPJL
0,0,1,0,61,1,1,101.05,5971.25,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,97.88934426229508,3,False,False,True,0,1095-WGNGG
1,0,0,0,64,1,1,84.3,5289.05,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,82.64140625,2,False,False,True,0,2636-SJDOU
1,1,1,0,71,1,0,23.95,1756.2,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,24.735211267605635,0,False,False,True,0,1131-QQZEB
0,0,1,1,65,1,1,99.05,6416.7,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,98.71846153846154,4,False,False,True,0,5716-EZXZN
